skygroup,season,n_transits,n_tces,n_days,transits_per_day,channel
50,1,43,13,373.42409999998927,0.11515057544491969,78
50,2,50,16,325.28240000001097,0.15371258942997934,50
50,3,4,4,347.63679499999853,0.011506261873113911,6
51,0,13,3,369.3986369999984,0.035192333424879575,35
51,1,15,4,373.42409999998927,0.040168805387762685,79
51,2,12,4,325.28240000001097,0.03689102146319504,51
51,3,1,1,347.63679499999853,0.002876565468278478,7
52,0,32,6,369.3986369999984,0.08662728227662664,36
52,1,29,6,373.42409999998927,0.07765969041634119,80
52,2,26,6,325.28240000001097,0.07993054650358926,52
52,3,1,1,347.63679499999853,0.002876565468278478,8
53,0,41,12,369.3986369999984,0.11099120541692788,29
53,1,41,12,373.42409999998927,0.10979473472655134,1
53,2,40,12,325.28240000001097,0.12297007154398348,53
53,3,39,12,347.63679499999853,0.11218605326286064,81
54,0,22,6,369.3986369999984,0.059556256565180814,30
54,1,21,5,373.42409999998927,0.05623632754286776,2
54,2,12,5,325.28240000001097,0.03689102146319504,54
54,3,22,6,347.63679499999853,0.06328444030212652,82
55,0,16,4,369.3986369999984,0.04331364113831332,31
55,1,14,4,373.42409999998927,0.0374908850285785,3
55,2,13,4,325.28240000001097,0.03996527325179463,55
55,3,14,4,347.63679499999853,0.04027191655589869,83
56,0,43,11,369.3986369999984,0.11640541055921705,32
56,1,38,10,373.42409999998927,0.1017609736489988,4
56,2,34,9,325.28240000001097,0.10452456081238595,56
56,3,34,9,347.63679499999853,0.09780322592146824,84
57,0,58,15,369.3986369999984,0.15701194912638577,25
57,1,53,16,373.42409999998927,0.1419297790367615,17
57,2,48,15,325.28240000001097,0.14756408585278016,57
57,3,49,15,347.63679499999853,0.1409517079456454,65
58,0,57,19,369.3986369999984,0.1543048465552412,26
58,1,58,16,373.42409999998927,0.15531938083268237,18
58,2,55,18,325.28240000001097,0.1690838483729773,58
58,3,44,15,347.63679499999853,0.12656888060425303,66
59,0,44,13,369.3986369999984,0.11911251313036163,27
59,1,53,15,373.42409999998927,0.1419297790367615,19
59,2,42,15,325.28240000001097,0.12911857512118266,59
59,3,52,16,347.63679499999853,0.14958140435048084,67
60,0,36,11,369.3986369999984,0.09745569256120497,28
60,1,30,10,373.42409999998927,0.08033761077552537,20
60,2,35,10,325.28240000001097,0.10759881260098554,60
60,3,28,11,347.63679499999853,0.08054383311179739,68
61,0,58,15,369.3986369999984,0.15701194912638577,21
61,1,56,14,373.42409999998927,0.149963540114314,37
61,2,63,15,325.28240000001097,0.19367786268177398,61
61,3,48,14,347.63679499999853,0.13807514247736694,45
62,0,40,12,369.3986369999984,0.1082841028457833,22
62,1,37,10,373.42409999998927,0.09908305328981462,38
62,2,32,10,325.28240000001097,0.09837605723518679,62
62,3,33,11,347.63679499999853,0.09492666045318977,46
63,0,40,13,369.3986369999984,0.1082841028457833,23
63,1,46,14,373.42409999998927,0.12318433652247222,39
63,2,43,14,325.28240000001097,0.13219282690978224,63
63,3,43,15,347.63679499999853,0.12369231513597455,47
64,0,40,12,369.3986369999984,0.1082841028457833,24
64,1,42,11,373.42409999998927,0.11247265508573552,40
64,2,43,13,325.28240000001097,0.13219282690978224,64
64,3,40,13,347.63679499999853,0.11506261873113911,48
