skygroup,season,n_transits,n_tces,n_days,transits_per_day,channel
44,3,44,15,347.63679499999853,0.12656888060425303,41
45,0,30,9,369.3986369999984,0.08121307713433748,37
45,1,29,8,373.42409999998927,0.07765969041634119,61
45,2,28,8,325.28240000001097,0.08607905008078844,45
45,3,26,8,347.63679499999853,0.07479070217524042,21
46,0,21,9,369.3986369999984,0.056849153994036235,38
46,1,16,8,373.42409999998927,0.04284672574694686,62
46,2,23,10,325.28240000001097,0.0707077911377905,46
46,3,20,11,347.63679499999853,0.057531309365569556,22
47,0,53,18,369.3986369999984,0.14347643627066287,39
47,1,62,19,373.42409999998927,0.1660310622694191,63
47,2,53,19,325.28240000001097,0.16293534479577812,47
47,3,60,20,347.63679499999853,0.17259392809670868,23
48,0,43,12,369.3986369999984,0.11640541055921705,40
48,1,38,11,373.42409999998927,0.1017609736489988,64
48,2,33,9,325.28240000001097,0.10145030902378636,48
48,3,32,11,347.63679499999853,0.09205009498491129,24
49,0,15,4,369.3986369999984,0.04060653856716874,33
49,1,19,5,373.42409999998927,0.0508804868244994,77
49,2,17,5,325.28240000001097,0.052262280406192976,49
49,3,4,4,347.63679499999853,0.011506261873113911,5
50,0,39,10,369.3986369999984,0.10557700027463872,34
50,1,34,10,373.42409999998927,0.09104929221226209,78
50,2,43,12,325.28240000001097,0.13219282690978224,50
50,3,4,4,347.63679499999853,0.011506261873113911,6
51,0,12,2,369.3986369999984,0.03248523085373499,35
51,1,12,2,373.42409999998927,0.032135044310210144,79
51,2,8,2,325.28240000001097,0.024594014308796697,51
51,3,1,1,347.63679499999853,0.002876565468278478,7
52,0,32,6,369.3986369999984,0.08662728227662664,36
52,1,29,6,373.42409999998927,0.07765969041634119,80
52,2,22,5,325.28240000001097,0.06763353934919092,52
52,3,1,1,347.63679499999853,0.002876565468278478,8
53,0,37,11,369.3986369999984,0.10016279513234955,29
53,1,37,11,373.42409999998927,0.09908305328981462,1
53,2,36,11,325.28240000001097,0.11067306438958513,53
53,3,39,12,347.63679499999853,0.11218605326286064,81
54,0,16,4,369.3986369999984,0.04331364113831332,30
54,1,21,5,373.42409999998927,0.05623632754286776,2
54,2,12,5,325.28240000001097,0.03689102146319504,54
54,3,21,5,347.63679499999853,0.06040787483384804,82
55,0,22,5,369.3986369999984,0.059556256565180814,31
55,1,22,5,373.42409999998927,0.058914247902051936,3
55,2,18,5,325.28240000001097,0.055336532194792565,55
55,3,21,5,347.63679499999853,0.06040787483384804,83
56,0,47,12,369.3986369999984,0.12723382084379536,32
56,1,46,12,373.42409999998927,0.12318433652247222,4
56,2,40,11,325.28240000001097,0.12297007154398348,56
56,3,42,11,347.63679499999853,0.12081574966769608,84
57,0,64,16,369.3986369999984,0.17325456455325328,25
57,1,59,17,373.42409999998927,0.15799730119186656,17
57,2,54,16,325.28240000001097,0.1660095965843777,57
57,3,52,16,347.63679499999853,0.14958140435048084,65
58,0,60,21,369.3986369999984,0.16242615426867496,26
58,1,55,16,373.42409999998927,0.14728561975512983,18
58,2,58,19,325.28240000001097,0.17830660373877605,58
58,3,50,18,347.63679499999853,0.1438282734139239,66
59,0,44,13,369.3986369999984,0.11911251313036163,27
59,1,60,17,373.42409999998927,0.16067522155105074,19
59,2,41,14,325.28240000001097,0.12604432333258306,59
59,3,51,18,347.63679499999853,0.14670483888220237,67
60,0,32,10,369.3986369999984,0.08662728227662664,28
60,1,29,9,373.42409999998927,0.07765969041634119,20
60,2,34,9,325.28240000001097,0.10452456081238595,60
60,3,27,10,347.63679499999853,0.0776672676435189,68
61,0,58,15,369.3986369999984,0.15701194912638577,21
61,1,56,14,373.42409999998927,0.149963540114314,37
61,2,63,15,325.28240000001097,0.19367786268177398,61
61,3,48,14,347.63679499999853,0.13807514247736694,45
62,0,40,12,369.3986369999984,0.1082841028457833,22
62,1,37,10,373.42409999998927,0.09908305328981462,38
62,2,33,11,325.28240000001097,0.10145030902378636,62
62,3,32,10,347.63679499999853,0.09205009498491129,46
63,0,43,14,369.3986369999984,0.11640541055921705,23
63,1,51,16,373.42409999998927,0.13657393831839312,39
63,2,49,16,325.28240000001097,0.15063833764137977,63
63,3,51,17,347.63679499999853,0.14670483888220237,47
64,0,33,10,369.3986369999984,0.08933438484777122,24
64,1,35,10,373.42409999998927,0.09372721257144626,40
64,2,33,10,325.28240000001097,0.10145030902378636,64
64,3,32,11,347.63679499999853,0.09205009498491129,48
65,0,58,16,369.3986369999984,0.15701194912638577,17
65,1,48,13,373.42409999998927,0.12854017724084058,57
65,2,41,13,325.28240000001097,0.12604432333258306,65
65,3,46,13,347.63679499999853,0.13232201154081,25
66,0,38,9,369.3986369999984,0.10286989770349414,18
66,1,40,11,373.42409999998927,0.10711681436736716,58
66,2,33,9,325.28240000001097,0.10145030902378636,66
66,3,38,11,347.63679499999853,0.10930948779458216,26
67,0,31,8,369.3986369999984,0.08392017970548206,19
67,1,36,8,373.42409999998927,0.09640513293063044,59
67,2,30,7,325.28240000001097,0.09222755365798761,67
67,3,38,10,347.63679499999853,0.10930948779458216,27
