#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
001575977-01 001575977 01   0.50737642 131.55289385     9.6283      55.5   3.1696    1.320   1.727  7263 4.123    0.01407 0.007003    1.34      6.1  37535.860
001575977-02 001575977 02  38.66729390 151.98866486     9.0281    1763.5   3.2655   13.320   1.727  7263 4.123    0.25300 0.070680   34.62      8.1    116.170
001575977-03 001575977 03   9.71192545 137.18162546     8.6602     713.9   4.2479    8.051   1.727  7263 4.123    0.10072 0.042719    5.54      8.5    733.071
001575977-04 001575977 04  73.38977517 147.52020812     9.8021    1782.5   3.6005   11.083   1.727  7263 4.123    0.38784 0.058810   62.28      7.9     49.436
001575977-05 001575977 05  17.42800768 147.28269583     8.5606    1163.8   1.6812    5.984   1.727  7263 4.123    0.14873 0.031753   81.55      8.9    336.168
001575977-06 001575977 06  39.84413443 138.50558372     7.3763    1306.0   3.7931   10.448   1.727  7263 4.123    0.25811 0.055438   29.15      6.6    111.618
001575977-07 001575977 07  30.12444285 156.44776472     8.0410    1499.2   2.7008   12.366   1.727  7263 4.123    0.21421 0.065618   31.39      8.4    162.055
001576115-01 001576115 01   0.97003526 132.08438733    15.6207     148.6   5.4107    2.521   1.996  8254 4.083    0.02316 0.011575    1.41      8.2  30898.866
001576115-02 001576115 02   0.96996685 132.48910654    22.2572     365.0   2.9360    4.165   1.996  8254 4.083    0.02315 0.019123    1.90     17.4  30901.771
001576115-03 001576115 03   0.97005685 131.71932720    21.7217     251.4   2.5000    3.203   1.996  8254 4.083    0.02316 0.014705    3.05     -1.0  30897.949
001576144-01 001576144 01   2.68668556 132.26386567    21.7699      46.1   3.2836    1.987   2.507  9181 4.003    0.05000 0.007264    2.75     20.7  16005.457
001576144-02 001576144 02 294.74048062 406.59779531    23.0263     373.5   5.0000    4.949   2.507  9181 4.003    1.14576 0.018089  456.26     -1.0     30.477
001576144-03 001576144 03   2.68672671 132.03258428    10.2260      13.0  27.6010    0.948   2.507  9181 4.003    0.05000 0.003466    1.02      6.3  16005.130
001576704-01 001576704 01 433.59673099 556.79872782     8.6568    1555.3   9.8098    4.694   0.978  5991 4.484    1.14458 0.043986  163.41      8.5      0.843
001577039-01 001577039 01   3.07287149 134.21450894    10.1498      48.9  22.5613    1.349   1.896  6969 4.089    0.04849 0.006522    1.21      3.5   3231.538
001577912-01 001577912 01   1.88798309 131.75068592     9.5583      37.2  22.6558    1.764   2.390  8220 3.949    0.03672 0.006764    1.01     14.0  17324.050
001718290-01 001718290 01   0.54148721 131.94552411     7.7249      71.0   2.5821    1.374   1.579 11174 4.371    0.01675 0.007972    1.72      8.2 124126.974
001718594-01 001718594 01 367.24426138 165.40380116    12.8937     272.6   5.7732    7.349   2.355  7796 3.972    1.24259 0.028599  118.45     11.1     11.888
001718594-02 001718594 02   2.71868344 134.16196484    10.8833      15.4   7.2645    0.943   2.355  7796 3.972    0.04720 0.003668    2.80     10.2   8239.435
001718594-03 001718594 03   2.71852554 133.14818102     8.7981      12.3   8.0514    0.903   2.355  7796 3.972    0.04720 0.003515    1.84      8.4   8240.073
001718594-04 001718594 04 154.48498108 240.84136081    19.4533     378.2   9.0700    4.986   2.355  7796 3.972    0.69761 0.019404   88.09     12.9     37.716
001719308-01 001719308 01  36.57505149 163.98253218    18.7198     304.5  33.1888    5.164   1.505  6256 4.111    0.22038 0.031442    2.36     22.6     64.002
001720673-01 001720673 01 367.38741151 495.88732303    29.8309   15584.7   7.4109   12.095   0.569  4348 4.672    0.82513 0.194800  258.27     26.6      0.152
001720673-02 001720673 02 326.04922809 169.32119498    29.2769    8131.8   2.4210    9.601   0.569  4348 4.672    0.76201 0.154632  596.25      8.6      0.179
001720673-03 001720673 03 325.68598891 168.48898825    30.4044    8681.8   2.9381    5.144   0.569  4348 4.672    0.76144 0.082841  916.91      9.0      0.179
001720673-04 001720673 04 367.00498877 495.11709465    20.9580    7852.7   8.8905    4.886   0.569  4348 4.672    0.82456 0.078686  339.97     16.1      0.152
001720673-05 001720673 05 368.63815520 498.45578444    18.5025    8371.5   9.9551    9.690   0.569  4348 4.672    0.82700 0.156055  164.10     15.6      0.152
001720673-06 001720673 06 347.76556881 169.65023356    31.4567   13435.7   5.0000    6.403   0.569  4348 4.672    0.79548 0.103130  583.73     -1.0      0.164
001721361-01 001721361 01 512.04430524 161.14239732     8.7779     310.1   6.3689    5.440   2.710  9111 3.857    1.55913 0.018396  313.29      8.5     18.652
001724222-01 001724222 01   2.22146875 131.87336776     9.4223      26.5   5.7539    1.198   1.940  6932 4.030    0.03790 0.005657    1.46      9.6   5420.127
001724222-02 001724222 02   0.88855362 132.35182552     9.4515      17.1   5.3342    0.864   1.940  6932 4.030    0.02058 0.004082    1.22      8.9  18391.544
001724222-03 001724222 03 104.06505938 176.81465803    12.4327     170.7   8.3938    3.057   1.940  6932 4.030    0.49253 0.014439   36.52      9.2     32.096
001724222-04 001724222 04  63.83977227 160.26149481    10.3878     119.9   6.0243    2.454   1.940  6932 4.030    0.35560 0.011591   38.68      5.3     61.575
001724222-05 001724222 05  87.45036840 184.01865974     9.8050     300.4   4.2559    6.512   1.940  6932 4.030    0.43860 0.030761   39.26     10.4     40.474
001724222-06 001724222 06  62.39274894 184.91328130    10.1170     230.5   2.6560    3.399   1.940  6932 4.030    0.35020 0.016054   88.43     10.6     63.487
001724222-07 001724222 07  61.93897141 187.63625235    10.6417     192.8   7.8992    3.017   1.940  6932 4.030    0.34850 0.014251   34.31      8.2     64.108
001724222-08 001724222 08 128.94014892 169.86308135    10.5901     293.0   2.5543    3.664   1.940  6932 4.030    0.56819 0.017309  243.19     10.3     24.118
001724222-09 001724222 09  55.36474310 145.77516799    10.4347      63.9   4.1049    1.685   1.940  6932 4.030    0.32339 0.007959   68.82      3.0     74.454
001724222-10 001724222 10  42.54595754 145.65442293     9.6489     124.1   5.0000    2.184   1.940  6932 4.030    0.27131 0.010315   65.36     -1.0    105.776
001724961-01 001724961 01   0.62059203 131.85585074     9.1326     124.9   2.2081    2.789   2.143  7311 3.986    0.01673 0.011925    1.37     10.7  41983.116
001724961-02 001724961 02 187.05762440 169.46642191     8.5366    5381.8   5.0858   19.124   2.143  7311 3.986    0.75225 0.081777  156.93      8.6     20.774
001724961-03 001724961 03 245.89812877 190.37133945     7.9063    4016.0   5.1598   18.220   2.143  7311 3.986    0.90271 0.077911  182.73      8.0     14.426
001724961-04 001724961 04 335.06160680 135.29447649     7.7124    4755.2   3.9215   26.484   2.143  7311 3.986    1.10950 0.113253  319.33      7.5      9.550
001724961-05 001724961 05 271.44899785 225.09454935     9.0474      84.1   3.0000    1.989   2.143  7311 3.986    0.96421 0.008504  693.68     -1.0     12.644
001724968-01 001724968 01 394.11158467 316.40778946     8.4856    3196.5  10.4527    7.989   1.390  6896 4.301    1.17974 0.052672  291.36      8.4      2.813
001725907-01 001725907 01  28.11003146 159.31230625     8.8747     139.7  80.5399    3.953   1.658  6157 4.025    0.18464 0.021850    1.15     18.4    103.819
001726231-01 001726231 01 278.43015809 373.22539428     7.4956     580.1   9.2529    4.301   1.680  6406 4.042    0.87039 0.023462  177.45      9.7      5.621
001849235-01 001849235 01   0.78628660 132.00108068    14.2217     265.5   4.8170    2.808   1.667  6477 4.080    0.01781 0.015437    1.32     13.1  13811.447
001849235-02 001849235 02   0.56135680 131.63227368    20.8031    1164.9   1.9479    6.672   1.667  6477 4.080    0.01423 0.036680    1.48     22.8  21645.204
