tce,keep,onEB,onCum,onOther
002307249-05,True,False,False,False
002307249-06,True,False,False,False
002307249-07,True,False,False,False
002307415-01,False,False,True,False
002307415-02,False,False,True,False
002307533-01,True,False,False,False
002308761-01,True,False,False,False
002308761-02,True,False,False,False
002308761-03,True,False,False,False
002308957-01,False,True,True,False
002309585-01,False,False,True,False
002309587-01,False,True,True,False
002309587-02,False,True,True,False
002309719-01,False,True,True,False
002309719-02,False,True,True,False
002309719-03,False,True,True,False
002309719-04,False,True,True,False
002309910-01,False,False,True,False
002311004-01,True,False,False,False
002421693-01,True,False,False,False
002423549-01,True,False,False,False
002425185-01,True,False,False,False
002425331-01,True,False,False,False
002436378-01,False,True,True,False
002436378-02,False,True,True,False
002436450-01,True,False,False,False
002436450-02,True,False,False,False
002436450-03,True,False,False,False
002436450-04,True,False,False,False
002436450-05,True,False,False,False
002436450-06,True,False,False,False
002436450-07,True,False,False,False
002436635-01,True,False,False,False
002436635-02,True,False,False,False
002436954-01,True,False,False,False
002437060-01,False,True,True,False
002437149-01,False,True,True,False
002437149-02,False,True,True,False
002437149-03,False,True,True,False
002437178-01,True,False,False,False
002437209-01,True,False,False,False
002437222-01,True,False,False,False
002437317-01,True,False,False,False
002437452-01,False,True,True,False
002437452-02,False,True,True,False
002437452-03,False,True,True,False
002437488-01,False,False,True,False
002437488-02,False,False,True,False
002437488-03,False,False,True,False
002437505-01,False,True,True,False
002437505-02,False,True,True,False
002437505-03,False,True,True,False
002437505-04,False,True,True,False
002437505-05,False,True,True,False
002437783-01,False,False,True,False
002437783-02,False,False,True,False
002437783-03,False,False,True,False
002438061-01,False,True,True,False
002438061-02,False,True,True,False
002438062-01,False,False,True,False
002438062-02,False,False,True,False
002438070-01,False,False,True,False
002438070-02,False,False,True,False
002438114-01,True,False,False,False
002438114-02,True,False,False,False
002438114-03,True,False,False,False
002438151-01,True,False,False,False
002438151-02,True,False,False,False
002438151-03,True,False,False,False
002438249-01,True,False,False,False
002438264-01,False,False,True,False
002438264-02,False,False,True,False
002438264-03,False,False,True,False
002438264-04,False,False,True,False
002438264-05,False,False,True,False
002438264-06,False,False,True,False
002438264-07,False,False,True,False
002438264-08,False,False,True,False
002438490-01,False,True,True,False
002438490-02,False,True,True,False
002438502-01,False,False,True,False
002438502-02,False,False,True,False
002438502-03,False,False,True,False
002439144-01,True,False,False,False
002439211-01,True,False,False,False
002439660-01,True,False,False,False
002439660-02,True,False,False,False
002440757-01,False,True,True,False
002440757-02,False,True,True,False
002441151-01,False,False,True,False
002441151-02,False,False,True,False
002441151-03,False,False,True,False
002441161-01,False,True,True,False
002441161-02,False,True,True,False
002441495-01,False,False,True,False
002441495-02,False,False,True,False
002441495-03,False,False,True,False
002441495-04,False,False,True,False
002441728-01,False,False,True,False
002441728-02,False,False,True,False
002442084-01,False,True,True,False
002442084-02,False,True,True,False
002442084-03,False,True,True,False
002442084-04,False,True,True,False
002442118-01,True,False,False,False
