tce,keep,onEB,onCum,onOther
002694746-03,True,False,False,False
002695030-01,True,False,False,False
002695030-02,True,False,False,False
002695110-01,False,False,True,False
002695411-01,True,False,False,False
002695733-01,True,False,False,False
002696703-01,False,True,True,False
002696703-02,False,True,True,False
002696703-03,False,True,True,False
002696703-04,False,True,True,False
002696703-05,False,True,True,False
002696941-01,True,False,False,False
002696944-01,True,False,False,False
002697935-01,False,True,True,False
002698074-01,True,False,False,False
002706788-01,True,False,False,False
002707097-01,False,False,True,False
002707479-01,True,False,False,False
002707479-02,True,False,False,False
002708156-01,False,True,True,False
002710406-01,True,False,False,False
002710406-02,True,False,False,False
002711114-01,False,True,True,False
002711114-02,False,True,True,False
002711123-01,False,False,True,False
002712821-01,True,False,False,False
002712958-01,True,False,False,False
002713662-01,True,False,False,False
002714085-01,True,False,False,False
002714707-01,True,False,False,False
002714807-01,True,False,False,False
002714807-02,True,False,False,False
002714807-03,True,False,False,False
002714807-04,True,False,False,False
002714807-05,True,False,False,False
002714807-06,True,False,False,False
002714807-07,True,False,False,False
002714807-08,True,False,False,False
002714831-01,True,False,False,False
002714831-02,True,False,False,False
002714887-01,True,False,False,False
002714923-01,True,False,False,False
002714923-02,True,False,False,False
002714932-01,True,False,False,False
002714954-01,True,False,False,False
002714954-02,True,False,False,False
002714954-03,True,False,False,False
002715108-01,True,False,False,False
002715108-02,True,False,False,False
002715108-03,True,False,False,False
002715119-01,True,False,False,False
002715164-01,True,False,False,False
002715228-01,True,False,False,False
002715245-01,True,False,False,False
002715251-01,True,False,False,False
002715251-02,True,False,False,False
002715251-03,True,False,False,False
002715251-05,True,False,False,False
002715251-06,True,False,False,False
002715251-07,True,False,False,False
002715251-08,True,False,False,False
002715251-10,True,False,False,False
002715282-01,True,False,False,False
002715683-01,True,False,False,False
002717252-01,True,False,False,False
002717483-01,True,False,False,False
002718630-01,True,False,False,False
002718630-02,True,False,False,False
002718663-01,True,False,False,False
002718663-02,True,False,False,False
002718663-03,True,False,False,False
002718672-01,True,False,False,False
002718672-02,True,False,False,False
002719125-01,True,False,False,False
002719873-01,False,True,True,False
002719928-01,True,False,False,False
002720096-01,False,True,False,False
002720354-01,False,True,True,False
002720354-02,False,True,True,False
002720354-03,False,True,True,False
002720594-01,True,False,False,False
002721835-01,True,False,False,False
002722074-01,True,False,False,False
002722074-02,True,False,False,False
002722074-03,True,False,False,False
002831087-01,True,False,False,False
002832589-01,False,False,True,False
002832753-01,True,False,False,False
002832753-02,True,False,False,False
002832753-03,True,False,False,False
002833020-01,True,False,False,False
002833709-01,True,False,False,False
002833709-02,True,False,False,False
002833709-03,True,False,False,False
002833709-04,True,False,False,False
002833709-05,True,False,False,False
002833709-06,True,False,False,False
002833709-07,True,False,False,False
002833709-08,True,False,False,False
002833709-09,True,False,False,False
002833709-10,True,False,False,False
002834612-01,True,False,False,False
002835657-01,True,False,False,False
002846358-01,True,False,False,False
002846358-02,True,False,False,False
002852810-01,True,False,False,False
002852941-01,False,False,False,False
002852941-02,False,False,False,False
002852941-03,False,False,False,False
002852941-04,False,False,False,False
002852942-01,True,False,False,False
002852942-02,True,False,False,False
002852942-03,True,False,False,False
002853280-01,True,False,False,False
002853280-02,True,False,False,False
002853320-01,True,False,False,False
002853320-02,True,False,False,False
002853320-03,True,False,False,False
002853320-04,True,False,False,False
002853446-01,False,False,True,False
002854698-01,False,False,True,False
002854706-01,True,False,False,False
002854914-01,False,False,True,False
002854953-01,True,False,False,False
002854953-02,True,False,False,False
002855026-01,True,False,False,False
002855415-01,True,False,False,False
002855603-01,True,False,False,False
002855680-01,True,False,False,False
002855689-01,True,False,False,False
002856756-01,True,False,False,False
002856756-02,True,False,False,False
002856960-01,False,True,False,False
002856960-02,False,True,False,False
002856960-03,False,True,False,False
002857323-01,True,False,False,False
002857323-02,True,False,False,False
002858372-01,True,False,False,False
002860121-01,True,False,False,False
002860123-01,True,False,False,False
002860579-01,True,False,False,False
002860594-01,False,True,True,False
002860793-01,False,False,True,False
002860793-02,False,False,True,False
002860851-01,True,False,False,False
002860851-02,True,False,False,False
002860866-01,False,False,True,False
002865164-01,True,False,False,False
002969628-01,True,False,False,False
002969638-01,False,False,True,False
002969638-02,False,False,True,False
002969638-03,False,False,True,False
002969991-01,True,False,False,False
002970580-01,True,False,False,False
002970580-02,True,False,False,False
002970804-01,False,False,True,False
002970836-01,True,False,False,False
002971415-01,True,False,False,False
002972005-01,True,False,False,False
002972024-01,True,False,False,False
002973297-01,True,False,False,False
002973597-01,True,False,False,False
002974815-01,True,False,False,False
002974858-01,True,False,False,False
002975511-01,True,False,False,False
002975832-01,True,False,False,False
002975832-02,True,False,False,False
002975832-03,True,False,False,False
002984106-01,True,False,False,False
002984505-01,True,False,False,False
002984505-02,True,False,False,False
002985022-01,True,False,False,False
002985022-02,True,False,False,False
002986505-01,True,False,False,False
002987242-01,True,False,False,False
002987465-01,True,False,False,False
002987660-01,True,False,False,False
002987660-02,True,False,False,False
002988145-01,True,False,False,False
002988145-02,True,False,False,False
002988783-01,True,False,False,False
002989404-01,False,False,True,False
002989404-02,False,False,True,False
002989404-03,False,False,True,False
002989608-01,True,False,False,False
002989608-02,True,False,False,False
002989608-03,True,False,False,False
002989608-04,True,False,False,False
002989608-05,True,False,False,False
002989608-06,True,False,False,False
002989608-07,True,False,False,False
002989608-08,True,False,False,False
002989608-10,True,False,False,False
002989706-01,False,False,True,False
002991059-01,True,False,False,False
002991493-01,True,False,False,False
002992648-01,True,False,False,False
002992648-04,True,False,False,False
002992648-05,True,False,False,False
002992648-06,True,False,False,False
002993172-01,True,False,False,False
002993589-01,True,False,False,False
002993589-02,True,False,False,False
002994888-01,True,False,False,False
002994888-02,True,False,False,False
002995823-01,True,False,False,False
002995913-01,True,False,False,False
002995931-01,True,False,False,False
002996339-01,True,False,False,False
002997178-01,False,False,True,False
002997455-01,False,True,True,False
002997455-02,False,True,True,False
002997455-03,False,True,True,False
002998070-01,True,False,False,False
002998070-02,True,False,False,False
002998124-01,False,True,True,False
002998561-01,True,False,False,False
002998561-02,True,False,False,False
002998561-03,True,False,False,False
003002336-01,True,False,False,False
003002346-01,True,False,False,False
003003224-01,True,False,False,False
003003747-01,True,False,False,False
003003991-01,False,True,True,False
003097346-01,False,False,True,False
003097352-01,False,True,True,False
003097912-01,True,False,False,False
003097912-02,True,False,False,False
003097912-03,True,False,False,False
003097912-04,True,False,False,False
003097912-05,True,False,False,False
003097912-06,True,False,False,False
003097912-07,True,False,False,False
003098015-01,True,False,False,False
003098015-02,True,False,False,False
003098184-01,False,False,False,False
003098184-02,False,False,False,False
003098184-03,False,False,False,False
003098184-04,False,False,False,False
003098194-01,False,True,True,False
003098194-02,False,True,True,False
003098197-01,False,False,True,False
003101695-01,True,False,False,False
003101923-01,False,False,True,False
003102000-01,False,True,True,False
003102024-01,False,True,True,False
003102024-02,False,True,True,False
003102024-03,False,True,True,False
003102024-04,False,True,True,False
003102024-05,False,True,True,False
003102763-01,True,False,False,False
003109924-01,True,False,False,False
003111419-01,True,False,False,False
003112869-01,True,False,False,False
003113213-01,True,False,False,False
003113266-01,False,True,True,False
003114661-01,False,False,True,False
003114667-01,False,True,True,False
003114667-02,False,True,True,False
003114667-03,False,True,True,False
003114667-05,False,True,True,False
003114747-01,True,False,False,False
003114811-01,False,False,True,False
003115272-01,True,False,False,False
003115435-01,True,False,False,False
003115435-02,True,False,False,False
003115728-01,True,False,False,False
003115833-01,False,False,True,False
003116004-01,True,False,False,False
003116329-01,True,False,False,False
003116946-01,True,False,False,False
003116989-01,True,False,False,False
003117046-01,True,False,False,False
003117514-01,True,False,False,False
003119256-01,False,False,True,False
003119256-02,False,False,True,False
003119256-03,False,False,True,False
003119256-04,False,False,True,False
003119256-05,False,False,True,False
003119308-01,True,False,False,False
003119459-01,True,False,False,False
003119533-01,True,False,False,False
003119604-01,True,False,False,False
003119604-02,True,False,False,False
003120057-01,True,False,False,False
003120057-02,True,False,False,False
003120057-03,True,False,False,False
003120210-01,True,False,False,False
003120220-01,True,False,False,False
003120320-01,False,True,True,False
003120477-01,True,False,False,False
003120650-01,True,False,False,False
003120650-02,True,False,False,False
003120650-03,True,False,False,False
003120650-04,True,False,False,False
003120650-05,True,False,False,False
003120650-06,True,False,False,False
003120796-01,True,False,False,False
003121106-01,True,False,False,False
003121340-01,False,False,True,False
003121340-02,False,False,True,False
003122188-01,True,False,False,False
003122985-01,False,True,True,False
003122985-02,False,True,True,False
003123138-01,True,False,False,False
003123138-02,True,False,False,False
003123138-03,True,False,False,False
003123138-04,True,False,False,False
003124286-01,True,False,False,False
003124412-01,False,False,False,False
003124420-01,False,False,False,False
003124420-02,False,False,False,False
003124420-03,False,False,False,False
003127817-01,False,True,True,False
003127817-02,False,True,True,False
003128325-01,True,False,False,False
003128325-02,True,False,False,False
003128793-01,False,True,True,False
003128853-01,True,False,False,False
003128853-02,True,False,False,False
003128853-03,True,False,False,False
003128853-04,True,False,False,False
003129612-01,True,False,False,False
003215548-01,True,False,False,False
003215696-01,True,False,False,False
003217264-01,False,False,True,False
003217554-01,True,False,False,False
003217554-02,True,False,False,False
003217554-03,True,False,False,False
003217554-04,True,False,False,False
003217690-01,True,False,False,False
003219256-01,True,False,False,False
003221077-01,True,False,False,False
003221975-01,True,False,False,False
003222027-01,True,False,False,False
003222104-01,True,False,False,False
003222183-01,True,False,False,False
003222183-02,True,False,False,False
003222183-03,True,False,False,False
003222183-04,True,False,False,False
003222183-05,True,False,False,False
003222183-06,True,False,False,False
003222183-07,True,False,False,False
003222183-08,True,False,False,False
003222192-01,True,False,False,False
003222680-01,False,False,True,False
003223460-01,True,False,False,False
003228328-01,True,False,False,False
003228824-01,False,False,True,False
